Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:04.49,30.000000,20.396257,1.500000,1.963656
00:04.50,30.000000,20.396257,1.500000,1.963656
00:04.51,30.000000,20.396257,1.500000,1.963656
00:04.52,30.000000,20.396257,1.500000,1.963656
00:04.53,30.000000,20.396257,1.500000,1.963656
00:04.54,30.000000,20.396257,1.500000,1.963656
00:04.55,30.000000,20.396257,1.500000,1.963656
00:04.56,30.000000,20.396257,1.500000,1.963656
00:04.57,30.000000,20.405029,1.500000,1.963077
00:04.58,30.000000,20.405029,1.500000,1.963077
00:04.59,30.000000,20.405029,1.500000,1.963077
00:04.60,30.000000,20.405029,1.500000,1.963077
00:04.61,30.000000,20.405029,1.500000,1.963077
00:04.62,30.000000,20.405029,1.500000,1.963077
00:04.63,30.000000,20.405029,1.500000,1.963077
00:04.64,30.000000,20.405029,1.500000,1.963077
00:04.65,30.000000,20.405029,1.500000,1.963077
00:04.66,30.000000,20.405029,1.500000,1.963077
00:04.67,30.000000,20.413795,1.500000,1.962497
00:04.68,30.000000,20.413795,1.500000,1.962497
00:04.69,30.000000,20.413795,1.500000,1.962497
00:04.70,30.000000,20.413795,1.500000,1.962497
00:04.71,30.000000,20.413795,1.500000,1.962497
00:04.72,30.000000,20.413795,1.500000,1.962497
00:04.73,30.000000,20.413795,1.500000,1.962497
00:04.74,30.000000,20.413795,1.500000,1.962497
00:04.75,30.000000,20.413795,1.500000,1.962497
00:04.76,30.000000,20.413795,1.500000,1.962497
00:04.77,30.000000,20.422557,1.500000,1.961919
00:04.78,30.000000,20.422557,1.500000,1.961919
00:04.79,30.000000,20.422557,1.500000,1.961919
00:04.80,30.000000,20.422557,1.500000,1.961919
00:04.81,30.000000,20.422557,1.500000,1.961919
00:04.82,30.000000,20.422557,1.500000,1.961919
00:04.83,30.000000,20.422557,1.500000,1.961919
00:04.84,30.000000,20.422557,1.500000,1.961919
00:04.85,30.000000,20.422557,1.500000,1.961919
00:04.86,30.000000,20.422557,1.500000,1.961919
00:04.87,30.000000,20.431313,1.500000,1.961341
00:04.88,30.000000,20.431313,1.500000,1.961341
00:04.89,30.000000,20.431313,1.500000,1.961341
00:04.90,30.000000,20.431313,1.500000,1.961341
00:04.91,30.000000,20.431313,1.500000,1.961341
00:04.92,30.000000,20.431313,1.500000,1.961341
00:04.93,30.000000,20.431313,1.500000,1.961341
00:04.94,30.000000,20.431313,1.500000,1.961341
00:04.95,30.000000,20.431313,1.500000,1.961341
00:04.96,30.000000,20.431313,1.500000,1.961341
00:04.97,30.000000,20.440063,1.500000,1.960764
00:04.98,30.000000,20.440063,1.500000,1.960764
00:04.99,30.000000,20.440063,1.500000,1.960764
00:05.00,30.000000,20.440063,1.500000,1.960764
00:05.01,30.000000,20.440063,1.500000,1.960764
00:05.02,30.000000,20.440063,1.500000,1.960764
00:05.03,30.000000,20.440063,1.500000,1.960764
00:05.04,30.000000,20.440063,1.500000,1.960764
00:05.05,30.000000,20.440063,1.500000,1.960764
00:05.06,30.000000,20.440063,1.500000,1.960764
00:05.07,30.000000,20.448808,1.500000,1.960188
00:05.08,30.000000,20.448808,1.500000,1.960188
00:05.09,30.000000,20.448808,1.500000,1.960188
00:05.10,30.000000,20.448808,1.500000,1.960188
00:05.11,30.000000,20.448808,1.500000,1.960188
00:05.12,30.000000,20.448808,1.500000,1.960188
00:05.13,30.000000,20.448808,1.500000,1.960188
00:05.14,30.000000,20.448808,1.500000,1.960188
00:05.15,30.000000,20.448808,1.500000,1.960188
00:05.16,30.000000,20.448808,1.500000,1.960188
00:05.17,30.000000,20.457548,1.500000,1.959612
00:05.18,30.000000,20.457548,1.500000,1.959612
00:05.19,30.000000,20.457548,1.500000,1.959612
00:05.20,30.000000,20.457548,1.500000,1.959612
00:05.21,30.000000,20.457548,1.500000,1.959612
00:05.22,30.000000,20.457548,1.500000,1.959612
00:05.23,30.000000,20.457548,1.500000,1.959612
00:05.24,30.000000,20.457548,1.500000,1.959612
00:05.25,30.000000,20.457548,1.500000,1.959612
00:05.26,30.000000,20.457548,1.500000,1.959612
00:05.27,30.000000,20.466282,1.500000,1.959037
00:05.28,30.000000,20.466282,1.500000,1.959037
00:05.29,30.000000,20.466282,1.500000,1.959037
00:05.30,30.000000,20.466282,1.500000,1.959037
00:05.31,30.000000,20.466282,1.500000,1.959037
00:05.32,30.000000,20.466282,1.500000,1.959037
00:05.33,30.000000,20.466282,1.500000,1.959037
00:05.34,30.000000,20.466282,1.500000,1.959037
00:05.35,30.000000,20.466282,1.500000,1.959037
00:05.36,30.000000,20.466282,1.500000,1.959037
00:05.37,30.000000,20.475011,1.500000,1.958463
00:05.38,30.000000,20.475011,1.500000,1.958463
00:05.39,30.000000,20.475011,1.500000,1.958463
00:05.40,30.000000,20.475011,1.500000,1.958463
00:05.41,30.000000,20.475011,1.500000,1.958463
00:05.42,30.000000,20.475011,1.500000,1.958463
00:05.43,30.000000,20.475011,1.500000,1.958463
00:05.44,30.000000,20.475011,1.500000,1.958463
00:05.45,30.000000,20.475011,1.500000,1.958463
00:05.46,30.000000,20.475011,1.500000,1.958463
00:05.47,30.000000,20.483734,1.500000,1.957890
00:05.48,30.000000,20.483734,1.500000,1.957890
00:05.49,30.000000,20.483734,1.500000,1.957890
00:05.50,30.000000,20.483734,1.500000,1.957890
00:05.51,30.000000,20.483734,1.500000,1.957890
00:05.52,30.000000,20.483734,1.500000,1.957890
00:05.53,30.000000,20.483734,1.500000,1.957890
00:05.54,30.000000,20.483734,1.500000,1.957890
00:05.55,30.000000,20.483734,1.500000,1.957890
00:05.56,30.000000,20.483734,1.500000,1.957890
00:05.57,30.000000,20.492452,1.500000,1.957317
00:05.58,30.000000,20.492452,1.500000,1.957317
00:05.59,30.000000,20.492452,1.500000,1.957317
00:05.60,30.000000,20.492452,1.500000,1.957317
00:05.61,30.000000,20.492452,1.500000,1.957317
00:05.62,30.000000,20.492452,1.500000,1.957317
00:05.63,30.000000,20.492452,1.500000,1.957317
00:05.64,30.000000,20.492452,1.500000,1.957317
